Id,Name,Description,StateId,CreatedDate,UpdatedDate
510,Agege,,24,4/20/2024,4/20/2024
511,Alimosho Ifelodun,,24,4/20/2024,4/20/2024
512,Alimosho,,24,4/20/2024,4/20/2024
513,Amuwo-Odofin,,24,4/20/2024,4/20/2024
514,Ikorodu,,24,4/20/2024,4/20/2024
515,Kosofe,,24,4/20/2024,4/20/2024
516,Lagos Island,,24,4/20/2024,4/20/2024
517,Lagos Mainland,,24,4/20/2024,4/20/2024
518,Karu,,25,4/20/2024,4/20/2024
519,Nassarawa,,25,4/20/2024,4/20/2024
520,Nassarawa/Eggon,,25,4/20/2024,4/20/2024
521,Obi,,25,4/20/2024,4/20/2024
522,Toto,,25,4/20/2024,4/20/2024
523,Wamba,,25,4/20/2024,4/20/2024
524,Keana,,25,4/20/2024,4/20/2024
525,Keffi,,25,4/20/2024,4/20/2024
526,Kokona,,25,4/20/2024,4/20/2024
527,Akwanga,,25,4/20/2024,4/20/2024
528,Awe,,25,4/20/2024,4/20/2024
529,Doma,,25,4/20/2024,4/20/2024
530,Lafia,,25,4/20/2024,4/20/2024
531,Gurara,,26,4/20/2024,4/20/2024
532,Katcha,,26,4/20/2024,4/20/2024
533,Bosso,,26,4/20/2024,4/20/2024
534,Chanchaga,,26,4/20/2024,4/20/2024
535,Edati,,26,4/20/2024,4/20/2024
536,Gbako,,26,4/20/2024,4/20/2024
537,Bida,,26,4/20/2024,4/20/2024
538,Borgu,,26,4/20/2024,4/20/2024
539,Lapai,,26,4/20/2024,4/20/2024
540,Lavun,,26,4/20/2024,4/20/2024
541,Kontagora,,26,4/20/2024,4/20/2024
542,Agaie,,26,4/20/2024,4/20/2024
543,Agwara,,26,4/20/2024,4/20/2024
544,Rafi,,26,4/20/2024,4/20/2024
545,Magama,,26,4/20/2024,4/20/2024
546,Mariga,,26,4/20/2024,4/20/2024
547,Mashegu,,26,4/20/2024,4/20/2024
